CommunityArea,MeanBldgAge,VacantParcels,SmallResParcels,MultiFamilyParcels,MultiFamilyIncParcels,ParcelCount,MeanBldgValue
ALBANY PARK,88.01267025657269,0,6048,266,0,6314,31204.790624010137
ARCHER HEIGHTS,71.0065170166546,0,2736,26,0,2762,14332.396451846487
ARMOUR SQUARE,64.96237507348619,0,1677,24,0,1701,32358.5949441505
ASHBURN,58.55493572641281,0,12324,45,0,12369,12046.872099603848
AUBURN GRESHAM,83.52666492100899,0,11151,306,0,11457,11237.561403508771
AUSTIN,91.97426470588235,0,16947,461,0,17408,15020.59725413603
AVALON PARK,75.87237615449202,0,3541,32,0,3573,11178.914637559474
AVONDALE,93.3531036724082,0,6017,137,0,6154,28283.844328891777
BELMONT CRAGIN,83.74160915934755,0,12537,215,0,12752,20175.328419071517
BEVERLY,76.99789915966386,0,7081,59,0,7140,24042.036834733895
BRIDGEPORT,87.65422956422671,0,6962,60,0,7022,21961.554115636573
BRIGHTON PARK,89.47175717980127,0,7315,32,0,7347,13520.562406424391
BURNSIDE,73.73814898419865,0,883,3,0,886,8783.494356659143
CALUMET HEIGHTS,66.90763285024154,0,5153,22,0,5175,10319.828792270531
CHATHAM,74.99153439153439,0,7186,374,0,7560,13713.509656084656
CHICAGO LAWN,83.1666982742272,0,10261,285,0,10546,11165.686516214679
CLEARING,58.30824265911462,0,6611,98,0,6709,15784.433447607691
DOUGLAS,71.00253164556962,0,1116,69,0,1185,37993.026160337555
DUNNING,69.65115115115115,0,11933,55,0,11988,21194.317400734068
EAST GARFIELD PARK,91.46136437116068,0,2949,144,0,3093,16629.929841577756
EAST SIDE,78.45278410941062,0,6120,22,0,6142,9732.21800716379
EDGEWATER,83.9741359578851,0,3980,389,0,4369,53416.25932707713
EDISON PARK,68.05807327001357,0,3639,46,0,3685,29044.246132971508
ENGLEWOOD,103.8144277768414,0,5764,169,0,5933,10712.434687341985
FOREST GLEN,64.49481070019003,0,6823,18,0,6841,32373.693173512645
FULLER PARK,94.5037037037037,0,673,2,0,675,9629.973333333333
GAGE PARK,86.28361784965558,0,6607,71,0,6678,10638.165917939503
GARFIELD RIDGE,59.17155034629728,0,11219,43,0,11262,14973.012963949564
GRAND BOULEVARD,80.44620381648396,0,2189,274,0,2463,27143.132358911895
GREATER GRAND CROSSING,95.10292619012957,0,6577,292,0,6869,12454.590915708255
HEGEWISCH,66.86515151515151,0,3285,15,0,3300,11048.88
HERMOSA,94.8969434676765,0,3613,84,0,3697,20018.244252096294
HUMBOLDT PARK,98.67202535944753,0,8695,138,0,8833,14769.571493263897
HYDE PARK,73.04157894736842,0,1708,192,0,1900,66080.03105263157
IRVING PARK,87.91978056101853,0,9358,303,0,9661,30071.717938101647
JEFFERSON PARK,73.5628632175762,0,7009,46,0,7055,24652.558185683913
KENWOOD,64.2788643533123,0,1489,96,0,1585,50360.70347003155
LAKE VIEW,72.31174179187535,0,8311,674,0,8985,86408.13823038398
LINCOLN PARK,67.89176586084182,0,7792,357,0,8149,105050.25438704135
LINCOLN SQUARE,79.92434614709497,0,5317,380,0,5697,46195.643672108126
LOGAN SQUARE,93.01842428496228,0,11053,345,0,11398,36882.2974206001
LOOP,20.087209302325583,0,94,78,0,172,767175.9127906977
LOWER WEST SIDE,111.94330218068536,0,4685,130,0,4815,20950.589408099688
MCKINLEY PARK,95.96494409187065,0,3286,23,0,3309,17113.566334239953
MONTCLARE,75.60989010989012,0,2877,35,0,2912,20454.608516483517
MORGAN PARK,67.93341339738457,0,7448,46,0,7494,14520.118761676007
MOUNT GREENWOOD,61.45979937116335,0,6674,5,0,6679,18081.60697709238
NEAR NORTH SIDE,46.118878191712014,0,2027,362,0,2389,285943.6232733361
NEAR SOUTH SIDE,18.32015209125475,0,1262,53,0,1315,80221.71406844107
NEAR WEST SIDE,58.7554615926709,0,3923,334,0,4257,57611.81982616866
NEW CITY,100.14431803655887,0,7782,41,0,7823,11379.956282755977
NORTH CENTER,80.9439017169923,0,6640,116,0,6756,53888.96284783896
NORTH LAWNDALE,88.70782041998552,0,5304,220,0,5524,14295.175959449674
NORTH PARK,69.80336235364756,0,3257,74,0,3331,30215.35935154608
NORWOOD PARK,67.2558008378988,0,12345,67,0,12412,24294.009909764743
OAKLAND,48.86988847583643,0,475,63,0,538,27454.03159851301
OHARE,42.27414330218068,0,1248,36,0,1284,42519.71417445483
PORTAGE PARK,84.87767933695342,0,13814,182,0,13996,23680.4676336096
PULLMAN,93.80525803310613,0,2049,5,0,2054,9045.336416747808
RIVERDALE,68.41941747572815,0,513,2,0,515,4676.384466019417
ROGERS PARK,72.22013742071881,0,3261,523,0,3784,44570.44371035941
ROSELAND,78.71708768984202,0,13004,99,0,13103,9490.131496603832
SOUTH CHICAGO,91.26161192302128,0,6779,132,0,6911,10986.335841412241
SOUTH DEERING,72.11252115059222,0,4728,0,0,4728,6961.174703891709
SOUTH LAWNDALE,106.61412372291456,0,8827,80,0,8907,12929.362299315146
SOUTH SHORE,85.68473271138753,0,6175,578,0,6753,20622.570116985044
UPTOWN,67.12309329549485,0,2462,357,0,2819,71451.85491308974
WASHINGTON HEIGHTS,71.40816091954024,0,8625,75,0,8700,10413.116551724137
WASHINGTON PARK,91.22737819025522,0,751,111,0,862,25131.383990719256
WEST ELSDON,63.98179303987094,0,4323,16,0,4339,12989.996773450104
WEST ENGLEWOOD,93.58648587055606,0,8709,67,0,8776,8152.424794895169
WEST GARFIELD PARK,97.98204419889503,0,2848,48,0,2896,14769.921270718232
WEST LAWN,68.99041278295606,0,7469,41,0,7510,13372.343009320906
WEST PULLMAN,74.18043704474506,0,9587,23,0,9610,8126.930072840791
WEST RIDGE,68.18952794905489,0,9500,393,0,9893,30338.91064388962
WEST TOWN,78.73364627498486,0,12814,394,0,13208,51689.65778316172
WOODLAWN,87.602946214457,0,2796,123,0,2919,20003.52072627612
